row_index,mol_id,mol_name,target,E_HOMO_eV,E_LUMO_eV,HOMO_LUMO_gap_eV,dipole_total_D,chemical_potential_eV,hardness_eV,electrophilicity_eV,electronegativity_eV,softness_inv_eV,q_mulliken_min,q_mulliken_max,q_mulliken_range,quadrupole_aniso_au,xtb_Gsolv_water_Eh,xtb_gap_eV,PIC50
35,Mol_36,6GGB-21stActive,TP53,-5.705835920361263,-2.839162064046225,2.866673856315038,1.040935569211026,-4.272498992203744,1.433336928157519,6.367744833675255,4.272498992203744,0.6976726688298254,-0.39440182105415467,0.251077534705507,0.6454793557596616,80.98217796178359,-0.01577857632,1.255821951207,4.949999402
36,Mol_37,6GGB-22ndActive,TP53,-7.089173084783602,-2.9117364935996872,4.177436591183914,0.8887167071060531,-5.000454789191645,2.088718295591957,5.985620021502995,5.000454789191645,0.47876250335452397,-0.28952444401101385,0.14423586932022747,0.4337603133312413,70.83144455762609,-0.012456859068,1.803467163356,4.949999402
37,Mol_38,6GGB-23rdActive,TP53,-5.860838471010458,-2.7324166770248395,3.128421793985619,2.8488815502261913,-4.2966275740176485,1.5642108969928095,5.901061214092043,4.2966275740176485,0.6392999830921117,-0.24906708243608122,0.13205444350545448,0.3811215259415357,68.46144890381423,-0.020414034796,1.654223235922,4.899998417
38,Mol_39,6GGB-24thActive,TP53,-6.68795224086194,-2.9258024344733635,3.7621498063885768,3.464601566820058,-4.806877337667652,1.8810749031942884,6.14171974229894,4.806877337667652,0.5316109413303433,-0.22154257041545655,0.15655092267700876,0.3780934930924653,79.50833313394165,-0.022903318608,1.805548471479,4.899998417
39,Mol_40,6GGB-25thActive,TP53,-7.104975733830791,-2.913968134890718,4.1910075989400735,0.7724912092597853,-5.0094719343607546,2.0955037994700367,5.987774650538616,5.0094719343607546,0.4772122103777168,-0.1705270385149742,0.12894335646728905,0.29947039498226324,71.39758339325594,-0.012502628544,1.815054080573,4.899998417
40,Mol_41,6GGB-2ndActive,TP53,-7.474480231723294,-3.301435286073717,4.173044945649577,3.05559809418147,-5.387957758898505,2.0865224728247886,6.9565722846907345,5.387957758898505,0.47926634533016743,-0.2169566841397863,0.22625555957360355,0.44321224371338985,99.23349914614971,-0.021270945797,1.84413185975,4.849999245
41,Mol_42,6GGB-3rdActive,TP53,-6.43004054545413,-3.201224818125661,3.228815727328469,4.5709552083164136,-4.815632681789896,1.6144078636642345,7.182298429000368,4.815632681789896,0.6194221562637164,-0.4842669429844708,0.9507963770316632,1.435063320016134,48.59193110291325,-0.03338089026,1.652493188241,4.800000875
42,Mol_43,6GGB-4thActive,TP53,-4.8961007415241555,-2.7177356141892117,2.178365127334944,5.635534729453304,-3.8069181778566836,1.089182563667472,6.652982932492233,3.8069181778566836,0.9181197288293174,-0.3694941025023617,0.22937504910137907,0.5988691516037408,120.86591414730415,-0.044045841273,1.053204612649,4.700000504
43,Mol_44,6GGB-5thActive,TP53,-6.79537222323306,-2.8759313048985886,3.9194409183344714,1.5428069166220135,-4.835651764065824,1.9597204591672357,5.966036603314721,4.835651764065824,0.5102768587847168,-0.1760135498197517,0.2117403627381016,0.3877539125578533,93.79314896716348,-0.021321892966,1.860354300068,4.700000504
44,Mol_45,6GGB-6thActive,TP53,-6.132768941501647,-3.2679135106654202,2.8648554308362266,1.425803707389159,-4.700341226083534,1.4324277154181133,7.711805420900992,4.700341226083534,0.6981155064485112,-0.35274720999307263,0.2049210191792794,0.557668229172352,22.601887991509525,-0.022717540808,1.567086430492,4.550000452
45,Mol_46,6GGB-7thActive,TP53,-5.784898343306165,-2.8065128227025364,2.9783855206036285,2.617554495956195,-4.2957055830043505,1.4891927603018142,6.195667527995121,4.2957055830043505,0.6715047418020823,-0.2514665784787127,0.13558173498065695,0.38704831345936963,62.52485875574456,-0.016596005308,1.514424324211,4.550000452
