Index,Variable,Block
235,MACCS_130,"MACCS structural key, recomputed"
236,MACCS_131,"MACCS structural key, recomputed"
237,MACCS_132,"MACCS structural key, recomputed"
238,MACCS_133,"MACCS structural key, recomputed"
239,MACCS_134,"MACCS structural key, recomputed"
240,MACCS_135,"MACCS structural key, recomputed"
241,MACCS_136,"MACCS structural key, recomputed"
242,MACCS_137,"MACCS structural key, recomputed"
243,MACCS_138,"MACCS structural key, recomputed"
244,MACCS_139,"MACCS structural key, recomputed"
245,MACCS_140,"MACCS structural key, recomputed"
246,MACCS_141,"MACCS structural key, recomputed"
247,MACCS_142,"MACCS structural key, recomputed"
248,MACCS_143,"MACCS structural key, recomputed"
249,MACCS_144,"MACCS structural key, recomputed"
250,MACCS_145,"MACCS structural key, recomputed"
251,MACCS_146,"MACCS structural key, recomputed"
252,MACCS_147,"MACCS structural key, recomputed"
253,MACCS_148,"MACCS structural key, recomputed"
254,MACCS_149,"MACCS structural key, recomputed"
255,MACCS_150,"MACCS structural key, recomputed"
256,MACCS_151,"MACCS structural key, recomputed"
257,MACCS_152,"MACCS structural key, recomputed"
258,MACCS_153,"MACCS structural key, recomputed"
259,MACCS_154,"MACCS structural key, recomputed"
260,MACCS_155,"MACCS structural key, recomputed"
261,MACCS_156,"MACCS structural key, recomputed"
262,MACCS_157,"MACCS structural key, recomputed"
263,MACCS_158,"MACCS structural key, recomputed"
264,MACCS_159,"MACCS structural key, recomputed"
265,MACCS_160,"MACCS structural key, recomputed"
266,MACCS_161,"MACCS structural key, recomputed"
267,MACCS_162,"MACCS structural key, recomputed"
268,MACCS_163,"MACCS structural key, recomputed"
269,MACCS_164,"MACCS structural key, recomputed"
270,MACCS_165,"MACCS structural key, recomputed"
271,MACCS_166,"MACCS structural key, recomputed"
272,MACCS_167,"MACCS structural key, recomputed"
